Country,Code,Year,GDP,Growth,CPI,Imports,Exports,Population
Afghanistan,AFG,1991,NA,NA,NA,NA,NA,12993657
Afghanistan,AFG,1992,NA,NA,NA,NA,NA,13981231
Afghanistan,AFG,1993,NA,NA,NA,NA,NA,15095099
Afghanistan,AFG,1994,NA,NA,NA,NA,NA,16172719
Afghanistan,AFG,1995,NA,NA,NA,NA,NA,17099541
Afghanistan,AFG,1996,NA,NA,NA,NA,NA,17822884
Afghanistan,AFG,1997,NA,NA,NA,NA,NA,18381605
Afghanistan,AFG,1998,NA,NA,NA,NA,NA,18863999
Afghanistan,AFG,1999,NA,NA,NA,NA,NA,19403676
Afghanistan,AFG,2000,NA,NA,NA,NA,NA,20093756
Afghanistan,AFG,2001,NA,NA,NA,NA,NA,20966463
Afghanistan,AFG,2002,4055179566.34981,NA,NA,70.3293615651536,32.7798412726062,21979923
Afghanistan,AFG,2003,4515558808.10994,8.83227780370231,NA,71.9935934893108,44.3689481305496,23064851
Afghanistan,AFG,2004,5226778808.89209,1.41411798021916,63.5233948093157,60.6639232936629,30.9215873752968,24118979
Afghanistan,AFG,2005,6209137624.77181,11.2297148388595,71.5821433759539,70.7746463367921,28.448347745716,25070798
Afghanistan,AFG,2006,6971285594.68013,5.35740324754602,76.4387030058668,74.5044012766033,25.3178084241677,25893450
Afghanistan,AFG,2007,9747879531.86311,13.8263195390595,83.0740187275294,62.2757565321969,19.1176988860867,26616792
Afghanistan,AFG,2008,10109225813.6696,3.92498382284523,105.021064735005,73.1213663789153,26.9485914693821,27294031
Afghanistan,AFG,2009,12439087076.7667,21.390528405312,97.8679108385313,66.6645503895639,22.7003233834436,28004331
Afghanistan,AFG,2010,15856574731.4411,14.3624414596815,100,62.750313922893,18.5741706990603,28803167
Afghanistan,AFG,2011,17804292964.1045,0.426354792856571,111.804185808913,66.8747089278908,21.9049520576614,29708599
Afghanistan,AFG,2012,19907317065.6667,12.7522870825788,119.005731346616,62.6202604187822,18.9665412856843,30696958
Afghanistan,AFG,2013,20561069558.2152,5.60074466131904,127.795223073732,55.1523271838943,19.5915817114032,31731688
Afghanistan,AFG,2014,20484885119.7348,2.72454336495028,133.768366733582,51.4135473635928,15.7823773876924,32758020
Afghanistan,AFG,2015,19907111418.9938,1.45131465458005,132.883209191418,43.4375425849813,11.6879840129778,33736494
Afghanistan,AFG,2016,19046357714.4928,2.2603142045464,138.708665508891,41.7256945837374,5.93336084187306,34656032
Afghanistan,AFG,2017,19543976895.4248,2.66529204636834,145.610741438593,45.3320652802564,5.90481551542003,35530081
Bangladesh,BGD,1960,4274893913.49536,NA,NA,9.30725837281466,9.99668529799247,48199747
Bangladesh,BGD,1961,4817580183.60155,6.05816082548087,NA,11.6999989681888,10.7823534063335,49592802
Bangladesh,BGD,1962,5081413339.78635,5.45303096987186,NA,10.8080969923682,10.7467512833228,51030137
Bangladesh,BGD,1963,5319458351.16235,-0.455894289938712,NA,11.6562779409751,9.98348512216025,52532417
Bangladesh,BGD,1964,5386054619.34987,10.9527885460418,NA,14.1218553939094,10.0284124165217,54129100
Bangladesh,BGD,1965,5906636557.00092,1.60625822891573,NA,13.3665973042485,9.66271640919628,55834038
Bangladesh,BGD,1966,6439687598.32325,2.56681200128052,NA,12.6518221475519,10.2842808274445,57672990
Bangladesh,BGD,1967,7253575399.3215,-1.87586391964774,NA,12.5957179860198,9.30614212330159,59620669
Bangladesh,BGD,1968,7483685473.51275,9.48945401547951,NA,11.606331446801,8.33080893013733,61579473
Bangladesh,BGD,1969,8471006100.95399,1.22085790909685,NA,11.6653287574603,8.14599241256528,63417394
Bangladesh,BGD,1970,8992721809.39332,5.61985229280111,NA,12.5074840612315,8.31311289260521,65047770
Bangladesh,BGD,1971,8751842839.79658,-5.47948302721956,NA,10.7275845200351,6.29148731724424,66424744
Bangladesh,BGD,1972,6288245866.66667,-13.9737287020439,NA,13.7325591531154,5.6747304028231,67597470
Bangladesh,BGD,1973,8086725729.3407,3.32568019878394,NA,11.8552471769742,6.53940933400325,68691185
Bangladesh,BGD,1974,12512460519.7088,9.59195630041845,NA,10.348545600697,3.70107546471338,69884420
Bangladesh,BGD,1975,19448348073.4565,-4.08821409181661,NA,8.10054723852476,2.89507889386174,71305923
Bangladesh,BGD,1976,10117113333.3333,5.66136120119667,NA,17.6361931614715,4.74608176819018,72999136
Bangladesh,BGD,1977,9651149301.8746,2.67305605001984,NA,12.3814462328921,7.04075196547742,74925896
Bangladesh,BGD,1978,13281767142.8571,7.07383773260692,NA,15.4808518001798,5.55766316100946,77033846
Bangladesh,BGD,1979,15565480321.9448,4.80163460055662,NA,15.7978440622703,6.1092194808131,79236776
Bangladesh,BGD,1980,18138049095.6072,0.81914186889891,NA,17.8829473211837,5.49428379105126,81470860
Bangladesh,BGD,1981,20249694002.448,7.23394369490723,NA,14.1162959381045,5.13086315280464,83721268
Bangladesh,BGD,1982,18525399201.5968,2.13432783577075,NA,15.5316243276076,5.07529986612759,86007331
Bangladesh,BGD,1983,17609048821.5488,3.88104639981715,NA,14.7130315900677,5.60384903116941,88338242
Bangladesh,BGD,1984,18920840000,4.80331001525438,NA,13.4154720403534,3.39625513455005,90732362
Bangladesh,BGD,1985,22278423076.9231,3.34201465415414,NA,12.8377060246289,5.38447860037049,93199865
Bangladesh,BGD,1986,21774033333.3333,4.173382559004,24.2800028287658,11.8358105449764,5.18293196330185,95742431
Bangladesh,BGD,1987,24298032258.0645,3.77240185252705,26.6775793190573,11.6977479923371,4.99004963895921,98343809
Bangladesh,BGD,1988,26579005760.3486,2.41625685566223,28.6551258370912,12.2497633446486,5.42830096531266,100975321
Bangladesh,BGD,1989,28781714763.8012,2.83658212907926,30.3874656686181,12.7850303011279,5.54014371794136,103599232
Bangladesh,BGD,1990,31598341233.559,5.62225816160702,32.2492201402459,13.0581855259296,5.90831648660892,106188642
Bangladesh,BGD,1991,30957483949.5798,3.4852278153552,34.299420491319,12.2272149164418,6.66261196863293,108727432
Bangladesh,BGD,1992,31708874594.1645,5.44268555072129,35.5458878143966,12.3473285920799,7.58667691037111,111221938
Bangladesh,BGD,1993,33166519417.9894,4.71156172449447,36.6175318517239,14.1043140341485,9.01726903574974,113695139
Bangladesh,BGD,1994,33768660882.793,3.89012644065643,38.5632923178032,13.864320908288,9.00154364628231,116182267
Bangladesh,BGD,1995,37939748768.6567,5.12127789716162,42.5344675825385,17.3448618625588,10.864634213863,118706871
Bangladesh,BGD,1996,46438484107.5795,4.52291921762344,43.545566759,16.3695800738575,9.70650764952346,121269645
Bangladesh,BGD,1997,48244309133.4895,4.48989649735631,45.8559208091063,15.8051428327327,10.5203705573506,123854640
Bangladesh,BGD,1998,49984559471.3656,5.17702687345256,49.708844392463,16.1227321741207,11.7573312287186,126447965
Bangladesh,BGD,1999,51270569883.5275,4.67015636827865,52.7444123541293,16.6292981713845,11.7586423857313,129029691
Bangladesh,BGD,2000,53369787318.6245,5.2932947184604,53.9091441150379,16.9775131339119,12.3442012279919,131581243
Bangladesh,BGD,2001,53991289844.3291,5.07728777597312,54.9911943003265,18.7114578649468,13.3865592080649,134107160
Bangladesh,BGD,2002,54724081490.5102,3.83312394005608,56.8238115576626,16.557411788963,12.4099689322019,136600667
Bangladesh,BGD,2003,60158929188.2556,4.73956739916446,60.0449873584211,16.2267362042167,11.4311486959413,139019001
Bangladesh,BGD,2004,65108544250.0425,5.2395329104527,64.6009226216381,15.7117252031078,11.1465089461353,141307489
Bangladesh,BGD,2005,69442943089.4309,6.53594494052352,69.1531029680564,20.0040929665367,14.3928418979283,143431101
Bangladesh,BGD,2006,71819083683.7403,6.67190498148148,73.8314909913831,21.7584608673034,16.3534635652888,145368004
Bangladesh,BGD,2007,79611888213.148,7.0585993565727,80.5553137783967,22.9470478066831,16.9953348464905,147139191
Bangladesh,BGD,2008,91631278239.3237,6.01378975923306,87.7263034206632,24.9620555504832,17.6588584820757,148805814
Bangladesh,BGD,2009,102477791472.39,5.04512479417738,92.484115240665,23.1526633174097,16.9401329056133,150454708
Bangladesh,BGD,2010,115279077465.226,5.57180227396866,100,21.7787299851405,16.0241126856916,152149102
Bangladesh,BGD,2011,128637938711.386,6.46438388047517,111.39516515524,27.4987748801959,19.9220749554939,153911916
Bangladesh,BGD,2012,133355749482.478,6.52143507837333,118.321164250415,27.9493338841896,20.1615888634893,155727053
Bangladesh,BGD,2013,149990451022.29,6.01361036536019,127.231228786487,26.7585286136071,19.5378741103687,157571292
Bangladesh,BGD,2014,172885454931.453,6.06105935903958,136.1273400133,25.5244202017989,18.9896599950107,159405279
Bangladesh,BGD,2015,195078678697.23,6.55265279631962,144.558850888013,24.7493225204896,17.3366737865485,161200886
Bangladesh,BGD,2016,221415188000.475,7.1134894741232,152.529140322278,21.3045813926876,16.6497149603036,162951560
Bangladesh,BGD,2017,249723862487.361,7.28418409195113,161.226458913586,20.2678924628174,15.0361076278794,164669751
Bhutan,BTN,1960,NA,NA,NA,NA,NA,223288
Bhutan,BTN,1961,NA,NA,NA,NA,NA,228918
Bhutan,BTN,1962,NA,NA,NA,NA,NA,234706
Bhutan,BTN,1963,NA,NA,NA,NA,NA,240778
Bhutan,BTN,1964,NA,NA,NA,NA,NA,247325
Bhutan,BTN,1965,NA,NA,NA,NA,NA,254464
Bhutan,BTN,1966,NA,NA,NA,NA,NA,262244
Bhutan,BTN,1967,NA,NA,NA,NA,NA,270622
Bhutan,BTN,1968,NA,NA,NA,NA,NA,279515
Bhutan,BTN,1969,NA,NA,NA,NA,NA,288774
Bhutan,BTN,1970,NA,NA,NA,NA,NA,298301
Bhutan,BTN,1971,NA,NA,NA,NA,NA,308053
Bhutan,BTN,1972,NA,NA,NA,NA,NA,318045
Bhutan,BTN,1973,NA,NA,NA,NA,NA,328312
Bhutan,BTN,1974,NA,NA,NA,NA,NA,338943
Bhutan,BTN,1975,NA,NA,NA,NA,NA,349982
Bhutan,BTN,1976,NA,NA,NA,NA,NA,361455
Bhutan,BTN,1977,NA,NA,NA,NA,NA,373324
Bhutan,BTN,1978,NA,NA,NA,NA,NA,385384
Bhutan,BTN,1979,NA,NA,NA,NA,NA,397390
Bhutan,BTN,1980,135653295.165394,NA,13.9417866251377,37.7027613708762,13.6452108254945,409172
Bhutan,BTN,1981,146391639.722864,13.9077290356395,15.3266441313596,48.038590525147,15.4399331856493,420380
Bhutan,BTN,1982,148934334.038055,3.41394147506642,16.8446610131797,47.6961482805113,13.6977375843093,431050
Bhutan,BTN,1983,165585940.594059,11.3107136184646,19.88069477682,45.7720498105139,12.0591861603977,441847
Bhutan,BTN,1984,169264991.197183,4.48210512922356,21.2788682206017,45.1303983466628,12.9308038176451,453720
Bhutan,BTN,1985,172217502.021019,4.21177503633371,21.6783463473965,51.1376051744084,14.9929787889719,467178
Bhutan,BTN,1986,201375725.614592,11.7305766311607,23.8355282320883,52.4213322640824,17.6309043750957,482952
Bhutan,BTN,1987,253182453.703704,28.6962653616001,25.3535451139084,38.0913388779367,23.5471625614256,500437
Bhutan,BTN,1988,283855833.333333,4.98728969866838,27.910205125395,49.1163202787395,28.0727234958089,517273
Bhutan,BTN,1989,275949889.09427,7.43262644625811,30.360337636403,37.9675495834508,28.0478562961606,530257
Bhutan,BTN,1990,299787275.842376,10.8764346909591,33.3963714000433,30.6526127645203,26.8303707909999,537280
Bhutan,BTN,1991,250045839.929639,-0.407876088864342,37.4976801684696,40.1228101992345,32.1582195728966,537284
Bhutan,BTN,1992,250794359.567901,4.60089143184629,43.4898520703913,55.9038504475394,31.9864822111987,531525
Bhutan,BTN,1993,235239570.350935,1.9863665899687,48.3634852172875,44.0936209494253,31.5684121802376,523117
Bhutan,BTN,1994,270801565.189672,4.95150367020483,51.7457333574833,39.4260414226641,29.5287425843095,516503
Bhutan,BTN,1995,303053462.843047,7.07411727794511,56.659314317059,42.6295263957338,37.7689358057924,514877
Bhutan,BTN,1996,316420860.852385,5.56517286212046,61.6394749644339,45.6683204096096,35.4881289332026,519282
Bhutan,BTN,1997,365964500.137703,5.37383851914481,65.6542301387214,46.1159778874008,35.9047155549097,528754
Bhutan,BTN,1998,376955087.251575,5.91403083461985,72.5984915761706,49.4175883883815,33.1000112909481,542155
Bhutan,BTN,1999,419035810.496981,7.98397202183317,77.5187305045262,50.7011817211144,31.1144920421453,557543
Bhutan,BTN,2000,439158233.199822,6.93302423977509,80.6280019247456,48.2876189635561,29.3772262558174,573416
Bhutan,BTN,2001,476360697.181606,8.20377386131203,83.3777430308496,47.7481544453203,26.2861735036328,589600
Bhutan,BTN,2002,537050133.717342,10.7278406117878,85.4483713214025,49.3287165670338,23.8715499463399,606399
Bhutan,BTN,2003,622026107.771576,7.66433404214091,86.786623046165,50.8283390210983,25.5290743475142,623434
Bhutan,BTN,2004,702682018.976169,5.89640819205567,71.0707544763556,62.1644178212647,31.0274938861079,640282
Bhutan,BTN,2005,818869145.124717,7.12255964997142,74.8456868846605,64.4483312148531,38.2497417564353,656639
Bhutan,BTN,2006,897731524.929922,6.84936593196244,78.5883113128943,59.1778616605768,54.4194434186474,672228
Bhutan,BTN,2007,1196091805.02316,17.9258249448258,82.6404121818089,57.2955151670145,54.9685607191533,686958
Bhutan,BTN,2008,1258332337.28382,4.768354225598,89.5220119369484,57.9591918749087,48.7902601198305,700950
Bhutan,BTN,2009,1264758197.96593,6.65722379603399,93.4261762655376,62.2041456363013,44.7019813462701,714458
Bhutan,BTN,2010,1585472534.10547,11.7308543603364,100,70.7312026704553,42.4527911499786,727641
Bhutan,BTN,2011,1820207625.80217,7.89091389329108,108.848985699468,70.4861683343143,41.2054149499706,740510
Bhutan,BTN,2012,1823692109.61652,5.07170981496216,120.734921525617,63.0385929627616,38.7253342636964,752967
Bhutan,BTN,2013,1798333725.83954,2.14249655359879,129.194415027179,62.275570705192,40.4599044965572,764961
Bhutan,BTN,2014,1958819095.68324,5.74545516756977,139.880163824499,57.3380065790712,36.2846525284253,776448
Bhutan,BTN,2015,2059809919.89325,6.64456425820161,146.242115033883,63.1988515727779,33.2193600882453,787386
Bhutan,BTN,2016,2219675780.89539,8.02210122067797,152.545396982805,50.2740588144506,27.4157037214038,797765
Bhutan,BTN,2017,2528007911.35353,4.62910139072935,158.430903543195,49.5533863879225,29.0919497737686,807610
India,IND,1960,36535925031.34,NA,2.52748668877309,6.90979952297875,4.51004475733941,449480608
India,IND,1961,38709096075.6305,3.72274253269802,2.57033297015632,6.02394006423859,4.34879810440548,458494963
India,IND,1962,41599070242.3094,2.93112773665997,2.66369298910469,6.09900552554242,4.21277302424343,467852537
India,IND,1963,47776000900.0302,5.99435326095107,2.74216968261487,5.97263288425928,4.32547279977723,477527970
India,IND,1964,55726873083.5543,7.45295012232985,3.10839360492658,5.7483250518643,3.7646904609763,487484535
India,IND,1965,58760424669.8482,-2.63577010985354,3.40290639507342,5.26961511165296,3.34221988944031,497702365
India,IND,1966,45253641303.1897,-0.0553287698313909,3.77048318332544,6.74600525303779,4.18607079315179,508161935
India,IND,1967,49466168890.9507,7.82596303033046,4.26299133112269,6.01285925887526,4.07682941010105,518889779
India,IND,1968,52377324284.1951,3.38792917600284,4.40100194220748,4.99803508973889,4.08120086799565,529967317
India,IND,1969,57668330026.3629,6.53970029628042,4.37529407863572,4.07583589412231,3.75285910514886,541505076
India,IND,1970,61589800519.5084,5.15722973608266,4.59809549976314,3.92215327895035,3.82256604906608,553578513
India,IND,1971,66452561865.8332,1.64293038388736,4.73971402179062,4.04698557858888,3.70573154399163,566224812
India,IND,1972,70509913049.4003,-0.553301312377457,5.04505101847466,3.7502252674496,4.06980060188705,579411513
India,IND,1973,84374541630.2062,3.29552113522415,5.89972382756987,4.77594778758906,4.25297893074129,593058926
India,IND,1974,98198276856.6209,1.18533626033926,7.58697015632402,6.08763461054306,4.88207710819158,607050255
India,IND,1975,97159222024.1364,9.14991201480635,8.02310184746565,6.72095852631961,5.70638814312491,621301720
India,IND,1976,101346972433.934,1.66310363661313,7.41062245381336,6.182804019605,6.75675893878404,635771734
India,IND,1977,119866746574.408,7.25476458583543,8.02625769777357,6.3347167018173,6.45023109996077,650485030
India,IND,1978,135468782808.69,5.71253208900106,8.22876409284699,6.66157486927102,6.38116649653659,665502284
India,IND,1979,150950826964.424,-5.23818270278909,8.74517527238276,8.26016575680837,6.8205474058649,680915804
India,IND,1980,183839864649.15,6.73582152799872,9.73740928469919,9.34800949624202,6.20405102774375,696783517
India,IND,1981,190909548789.769,6.00620362381703,11.0142316437707,8.66671634451481,5.99838836761016,713118032
India,IND,1982,198037712681.605,3.47573324031281,11.8833363334912,8.23333166175966,6.04615822512264,729868013
India,IND,1983,215350771428.331,7.28889290124626,13.2936603505448,7.94044155447146,5.89895744000615,746949067
India,IND,1984,209328156800.867,3.82073785597316,14.3995476077688,7.81203705549086,6.34941252729331,764245202
India,IND,1985,229410293759.071,5.25429922330902,15.1996475603979,7.73064705657655,5.30975744379299,781666671
India,IND,1986,245664654062.873,4.77656417048912,16.5265343439128,7.10128260767819,5.25081127894385,799181436
India,IND,1987,275311425331.64,3.96535563390637,17.9810554239697,7.05798856498062,5.66346057644437,816792741
India,IND,1988,292632656262.687,9.62778291984768,19.6683027001421,7.5382769452948,6.0986235830226,834489322
India,IND,1989,292093308319.642,5.94734332826579,21.0596935101847,8.24280999294237,7.08983919592646,852270034
India,IND,1990,316697337894.513,5.53345456306464,22.9490075793463,8.54707139874579,7.12745017151666,870133480
India,IND,1991,266502281092.721,1.05683143315218,26.1320914258645,8.58809787834483,8.58347818048616,888054875
India,IND,1992,284363884079.92,5.48239602145289,29.2124945523449,9.69700061102241,8.93582750579552,906021106
India,IND,1993,275570363432.31,4.75077621976337,31.0607370914259,9.92668113709938,9.9375321741942,924057817
India,IND,1994,322909902308.131,6.65892406735311,34.2438214116532,10.3035703223586,9.99196554750069,942204249
India,IND,1995,355475984176.175,7.57449184038397,37.7452131691142,12.1574146938281,10.9578908265901,960482795
India,IND,1996,387656017799.599,7.54952224890152,41.1336584557082,11.672915058235,10.4942720905624,978893217
India,IND,1997,410320300471.227,4.04982084901742,44.0805774514448,12.0615474349555,10.8030301137676,997405318
India,IND,1998,415730874172.06,6.18441582047615,49.9128076740881,12.8222592854002,11.1342252167354,1015974042
India,IND,1999,452699998386.955,8.84575556126177,52.2436461392705,13.5123948010165,11.5723758466111,1034539214
India,IND,2000,462146799336.77,3.84099115675511,54.3383216485078,14.0585649355121,13.1337805582626,1053050912
India,IND,2001,478965491061.694,4.82396626409319,56.3919261013737,13.5845311902501,12.690313411804,1071477855
India,IND,2002,508068952065.959,3.80397532130318,58.815172903837,15.4140907047541,14.414240364224,1089807112
India,IND,2003,599592902016.212,7.86038147554173,61.0535954523922,15.8187924273513,15.10495121563,1108027848
India,IND,2004,699688852930.441,7.9229434184356204,63.3536380862151,19.8635185949643,18.0467464473502,1126135777
India,IND,2005,808901077222.092,9.2848246159904,66.0438512553292,22.660940662793,19.824365875368,1144118674
India,IND,2006,920316529729.61,9.26396475888482,69.8720985315016,24.927829443835,21.6641992123274,1161977719
India,IND,2007,1201111768409.39,9.80136033673229,74.3249644718143,25.1510743087586,21.0075932524203,1179681239
India,IND,2008,1186952757635.85,3.89095706246896,80.5305542396968,29.4959395450641,24.2674330627094,1197146906
India,IND,2009,1323940295874.9,8.47978389695572,89.2941733775462,26.1614660296931,20.6155600918422,1214270132
India,IND,2010,1656617073124.21,10.259963064554,100,27.0984453508588,22.5904459041009,1230980691
India,IND,2011,1823049927771.46,6.63836258517259,108.858360966367,31.0834686939585,24.5404113195713,1247236029
India,IND,2012,1827637859135.7,5.45638875297365,118.995736617717,31.2592910673332,24.534430661418,1263065852
India,IND,2013,1856722121394.53,6.38610640094825,131.975367124585,28.4132706461587,25.430861300519,1278562207
India,IND,2014,2039127446298.55,7.41022760508852,140.360018948366,25.9542227389497,22.9679630081172,1293859294
India,IND,2015,2102390808996.69,8.15442502779769,148.60255802937,22.1222536263809,19.8244262849215,1309053980
India,IND,2016,2274229710530.47,7.11268609734361,155.94504973946,21.0342569113177,19.3149223941772,1324171354
India,IND,2017,2600818243559.65,6.68118228178416,159.829464708669,22.0250048515052,19.0453668647114,1339180127
Maldives,MDV,1960,NA,NA,NA,NA,NA,89887
Maldives,MDV,1961,NA,NA,NA,NA,NA,92350
Maldives,MDV,1962,NA,NA,NA,NA,NA,94938
Maldives,MDV,1963,NA,NA,NA,NA,NA,97584
Maldives,MDV,1964,NA,NA,NA,NA,NA,100214
Maldives,MDV,1965,NA,NA,NA,NA,NA,102766
Maldives,MDV,1966,NA,NA,NA,NA,NA,105190
Maldives,MDV,1967,NA,NA,NA,NA,NA,107538
Maldives,MDV,1968,NA,NA,NA,NA,NA,109959
Maldives,MDV,1969,NA,NA,NA,NA,NA,112651
Maldives,MDV,1970,NA,NA,NA,NA,NA,115768
Maldives,MDV,1971,NA,NA,NA,NA,NA,119378
Maldives,MDV,1972,NA,NA,NA,NA,NA,123441
Maldives,MDV,1973,NA,NA,NA,NA,NA,127791
Maldives,MDV,1974,NA,NA,NA,NA,NA,132195
Maldives,MDV,1975,NA,NA,NA,NA,NA,136519
Maldives,MDV,1976,NA,NA,NA,NA,NA,140665
Maldives,MDV,1977,NA,NA,NA,NA,NA,144736
Maldives,MDV,1978,NA,NA,NA,NA,NA,148892
Maldives,MDV,1979,NA,NA,NA,NA,NA,153386
Maldives,MDV,1980,42463576.1589404,NA,NA,205.116968184654,153.543356207112,158385
Maldives,MDV,1981,44781456.9536424,NA,NA,209.015084294587,166.363501922508,163935
Maldives,MDV,1982,47935843.7935844,NA,NA,195.469595577539,159.796915915042,169960
Maldives,MDV,1983,57829787.2340425,NA,NA,166.86902133922,132.630610743194,176356
Maldives,MDV,1984,109503546.099291,NA,NA,86.9378238341969,77.1664507772021,182953
Maldives,MDV,1985,127154929.577465,NA,NA,66.8475852902082,71.6448825875055,189637
Maldives,MDV,1986,141902097.902098,NA,NA,60.746106840134,68.0751034890597,196357
Maldives,MDV,1987,141268980.477223,NA,NA,67.1768138195777,78.7150863723608,203124
Maldives,MDV,1988,168610478.359909,NA,NA,68.6790056741421,75.8553093758444,209885
Maldives,MDV,1989,189535398.230089,NA,NA,73.9703513481965,79.1936500525271,216595
Maldives,MDV,1990,215089005.235602,NA,NA,82.6266296674943,85.4529964461321,223215
Maldives,MDV,1991,244468292.682927,NA,NA,82.8615531965839,76.930086200016,229754
Maldives,MDV,1992,284853358.561968,NA,NA,83.3060214553788,78.0265933773955,236190
Maldives,MDV,1993,322326642.335766,NA,NA,79.7253488832904,67.1285871995924,242459
Maldives,MDV,1994,355884383.08887,NA,NA,79.2102674133876,77.73587169976,248433
Maldives,MDV,1995,398988954.970263,NA,NA,NA,NA,254082
Maldives,MDV,1996,450382327.952421,7.85864692730055,NA,NA,NA,259327
Maldives,MDV,1997,508223602.37893,8.39794082987038,NA,NA,NA,264275
Maldives,MDV,1998,540096397.621071,7.49468302465519,NA,NA,NA,269206
Maldives,MDV,1999,589239753.610875,6.17565582795811,NA,NA,NA,274484
Maldives,MDV,2000,624337145.284622,3.84581039203469,71.0834165856931,NA,NA,280384
Maldives,MDV,2001,870179738.562091,-3.94363435410109,71.561507559411,NA,NA,287027
Maldives,MDV,2002,897031250,7.26838631331684,74.5518285242228,NA,NA,294341
Maldives,MDV,2003,1052121054.6875,13.7500498204898,73.6119900521083,NA,NA,302209
Maldives,MDV,2004,1226829562.5,6.03375404861781,72.3713246466686,NA,NA,310423
Maldives,MDV,2005,1163362437.5,-13.1290534305083,73.3123508949087,NA,NA,318836
Maldives,MDV,2006,1575200390.625,26.1114935010553,75.3199519389498,66.4349997135781,49.3340009071266,327371
Maldives,MDV,2007,1868383460.9375,7.71386727084702,80.4377721032593,87.5455914569999,96.5477045512309,336070
Maldives,MDV,2008,2271646187.5,9.48533266057873,90.1236529290497,91.4299515145115,86.7102794727139,345054
Maldives,MDV,2009,2345294875,-7.22884146529458,94.206413557344,63.1064332715305,73.0056489032109,354501
Maldives,MDV,2010,2588176054.6875,7.26512906840138,100,65.4207135222082,77.5617934486833,364511
Maldives,MDV,2011,2774351760.03287,8.56673353050461,111.273414605594,82.7376455022764,88.0279050244333,375131
Maldives,MDV,2012,2886170571.69634,2.51738394219683,123.385187134304,74.3700053201992,86.1330858951477,386203
Maldives,MDV,2013,3295011381.75405,7.28107397899866,128.080631182548,72.823954125103,88.2514065447792,397397
Maldives,MDV,2014,3697351596.83753,7.32960638587076,130.796085435266,74.4897853913939,89.2313762797409,408247
Maldives,MDV,2015,4109424801.40835,2.88456754245505,132.042842431055,67.3861852981334,76.5339444383065,418403
Maldives,MDV,2016,4414055724.80263,7.28918630548748,132.706370144272,72.4473285090061,71.2996338309903,427756
Maldives,MDV,2017,4865546027.0157,6.91169442938974,136.294039954497,72.2902915044886,71.1821672091581,436330
Nepal,NPL,1960,508334413.965087,NA,NA,NA,NA,10063011
Nepal,NPL,1961,531959561.62226,1.90826596927236,NA,NA,NA,10221759
Nepal,NPL,1962,574091101.194382,1.91032003367357,NA,NA,NA,10384204
